"","pval","test","pp"
"158",2.86118202166768e-26,"q3",0.1575
"159",3.73008027189669e-26,"q3",0.1585
"160",4.16342642465414e-26,"q3",0.1595
"161",4.67700373967722e-26,"q3",0.1605
"162",4.68014615978109e-26,"q3",0.1615
"163",7.86036029764405e-26,"q3",0.1625
"164",8.37176320397512e-26,"q3",0.1635
"165",1.1225262601224e-25,"q3",0.1645
"166",1.3800729819489e-25,"q3",0.1655
"167",1.94587917810295e-25,"q3",0.1665
"168",2.38126752929619e-25,"q3",0.1675
"169",2.66663014312767e-25,"q3",0.1685
"170",3.37612005922976e-25,"q3",0.1695
"171",4.27494892828786e-25,"q3",0.1705
"172",5.22438079928161e-25,"q3",0.1715
"173",1.40736093230345e-24,"q3",0.1725
"174",2.06842923491809e-24,"q3",0.1735
"175",2.0840166623031e-24,"q3",0.1745
"176",2.51075514514598e-24,"q3",0.1755
"177",2.6891764859648e-24,"q3",0.1765
"178",2.9756843820277e-24,"q3",0.1775
"179",3.94501515173132e-24,"q3",0.1785
"180",4.19722909354596e-24,"q3",0.1795
"181",4.3962190791047e-24,"q3",0.1805
"182",5.54450649756708e-24,"q3",0.1815
"183",7.79023883115334e-24,"q3",0.1825
"184",8.72772321146496e-24,"q3",0.1835
"185",1.02583593424997e-23,"q3",0.1845
"186",1.03859428414819e-23,"q3",0.1855
"187",1.29975919507289e-23,"q3",0.1865
"188",1.32442981662895e-23,"q3",0.1875
"189",2.13646171115478e-23,"q3",0.1885
"190",5.29602386368774e-23,"q3",0.1895
"191",5.87050630197151e-23,"q3",0.1905
"192",5.90460988139472e-23,"q3",0.1915
"193",1.81006883782522e-22,"q3",0.1925
"194",2.08597419821968e-22,"q3",0.1935
"195",2.40624600092855e-22,"q3",0.1945
"196",2.47118645526123e-22,"q3",0.1955
"197",3.08103122764401e-22,"q3",0.1965
"198",4.42949252911005e-22,"q3",0.1975
"199",5.5017835743764e-22,"q3",0.1985
"200",7.20215425407082e-22,"q3",0.1995
"201",8.60238450329024e-22,"q3",0.2005
"202",1.09569661932412e-21,"q3",0.2015
"203",1.14007780579894e-21,"q3",0.2025
"204",1.39527934018757e-21,"q3",0.2035
"205",1.65963540390855e-21,"q3",0.2045
"206",1.84136665658229e-21,"q3",0.2055
"207",1.86808394250683e-21,"q3",0.2065
"208",1.91513606318668e-21,"q3",0.2075
"209",2.47048760280359e-21,"q3",0.2085
"210",2.59455858934283e-21,"q3",0.2095
"211",3.54700003079824e-21,"q3",0.2105
"212",3.75001318314492e-21,"q3",0.2115
"213",4.49850330253239e-21,"q3",0.2125
"214",4.70629151186152e-21,"q3",0.2135
"215",4.82530799476186e-21,"q3",0.2145
"216",5.64497933273893e-21,"q3",0.2155
"217",6.02969275437588e-21,"q3",0.2165
"218",7.25465284553165e-21,"q3",0.2175
"219",9.09713872738129e-21,"q3",0.2185
"220",9.52035484564777e-21,"q3",0.2195
"221",1.01712005891733e-20,"q3",0.2205
"222",1.14888537040745e-20,"q3",0.2215
"223",1.24159014315536e-20,"q3",0.2225
"224",1.24257079726518e-20,"q3",0.2235
"225",1.30847359683106e-20,"q3",0.2245
"226",1.51635243479684e-20,"q3",0.2255
"227",1.85120251148449e-20,"q3",0.2265
"228",2.05309137723074e-20,"q3",0.2275
"229",2.67982411771514e-20,"q3",0.2285
"230",3.71047644586148e-20,"q3",0.2295
"231",3.7463432875724e-20,"q3",0.2305
"232",4.4067547222845e-20,"q3",0.2315
"233",5.09025248248637e-20,"q3",0.2325
"234",5.28347875921342e-20,"q3",0.2335
"235",6.42806683312063e-20,"q3",0.2345
"236",8.56828918479891e-20,"q3",0.2355
"237",9.41878308116499e-20,"q3",0.2365
"238",9.83179848081594e-20,"q3",0.2375
"239",1.14166399540428e-19,"q3",0.2385
"240",1.18688512165073e-19,"q3",0.2395
"241",1.24854570014577e-19,"q3",0.2405
"242",1.30195128614545e-19,"q3",0.2415
"243",1.3344203547016e-19,"q3",0.2425
"244",1.49019337734093e-19,"q3",0.2435
"245",1.69614054958481e-19,"q3",0.2445
"246",1.89706686644286e-19,"q3",0.2455
"247",2.16830372546001e-19,"q3",0.2465
"248",2.54293114140724e-19,"q3",0.2475
"249",2.70658766898375e-19,"q3",0.2485
"250",3.0992723917009e-19,"q3",0.2495
"251",3.19185828929781e-19,"q3",0.2505
"252",3.68434140395404e-19,"q3",0.2515
"253",4.19701915350035e-19,"q3",0.2525
"254",5.36905476537467e-19,"q3",0.2535
"255",7.40192529009705e-19,"q3",0.2545
"256",7.6728371036837e-19,"q3",0.2555
"257",9.55925025427297e-19,"q3",0.2565
"258",9.70510110846941e-19,"q3",0.2575
"259",9.90369295463189e-19,"q3",0.2585
"260",1.22943903012082e-18,"q3",0.2595
"261",1.97484966156066e-18,"q3",0.2605
"262",1.99673993509901e-18,"q3",0.2615
"263",2.91720676609556e-18,"q3",0.2625
"264",4.00269731576394e-18,"q3",0.2635
"265",8.67402944912949e-18,"q3",0.2645
"266",9.62767441328776e-18,"q3",0.2655
"267",9.91881206418028e-18,"q3",0.2665
"268",1.43089444167142e-17,"q3",0.2675
"269",1.79857382874973e-17,"q3",0.2685
"270",1.93578690172242e-17,"q3",0.2695
"271",2.43583280331745e-17,"q3",0.2705
"272",2.44890578771712e-17,"q3",0.2715
"273",2.66707380677677e-17,"q3",0.2725
"274",2.76295196161472e-17,"q3",0.2735
"275",2.91164088015685e-17,"q3",0.2745
"276",2.95858870629987e-17,"q3",0.2755
"277",3.1069473290152e-17,"q3",0.2765
"278",3.23090045079788e-17,"q3",0.2775
"279",3.25790941787596e-17,"q3",0.2785
"280",3.31831741787167e-17,"q3",0.2795
"281",3.7440130067602e-17,"q3",0.2805
"282",3.84207501825549e-17,"q3",0.2815
"283",3.91042911239843e-17,"q3",0.2825
"284",5.35299747618595e-17,"q3",0.2835
"285",5.90225599506672e-17,"q3",0.2845
"286",6.4477276322843e-17,"q3",0.2855
"287",7.3266687004384e-17,"q3",0.2865
"288",7.58447739262189e-17,"q3",0.2875
"289",8.31405109505912e-17,"q3",0.2885
"290",1.18001122080016e-16,"q3",0.2895
"291",1.20226564784898e-16,"q3",0.2905
"292",1.23884562501114e-16,"q3",0.2915
"293",1.27745301057885e-16,"q3",0.2925
"294",1.30753700900635e-16,"q3",0.2935
"295",1.3282488914758e-16,"q3",0.2945
"296",1.72571796017573e-16,"q3",0.2955
"297",1.74442373193337e-16,"q3",0.2965
"298",2.53624121989214e-16,"q3",0.2975
"299",2.62981738828593e-16,"q3",0.2985
"300",2.68500274313387e-16,"q3",0.2995
"301",2.89777283893154e-16,"q3",0.3005
"302",2.96509292567066e-16,"q3",0.3015
"303",3.10877516523498e-16,"q3",0.3025
"304",3.25665236151664e-16,"q3",0.3035
"305",3.32611067720783e-16,"q3",0.3045
"306",3.71867980123747e-16,"q3",0.3055
"307",4.00145049108264e-16,"q3",0.3065
"308",4.18382808675925e-16,"q3",0.3075
"309",4.82368033301238e-16,"q3",0.3085
"310",5.66963351212255e-16,"q3",0.3095
"311",6.60809392392584e-16,"q3",0.3105
"312",8.17620161626165e-16,"q3",0.3115
"313",8.62869820776776e-16,"q3",0.3125
"314",1.03501455121797e-15,"q3",0.3135
"315",1.04891317404147e-15,"q3",0.3145
"316",1.14080884425775e-15,"q3",0.3155
"317",1.41545646419184e-15,"q3",0.3165
"318",1.44094214117445e-15,"q3",0.3175
"319",1.45986158781268e-15,"q3",0.3185
"320",1.47415395609833e-15,"q3",0.3195
"321",1.52629212268216e-15,"q3",0.3205
"322",1.52908485876279e-15,"q3",0.3215
"323",1.55807791729197e-15,"q3",0.3225
"324",1.56518651652853e-15,"q3",0.3235
"325",1.75154937280152e-15,"q3",0.3245
"326",1.75625344933221e-15,"q3",0.3255
"327",2.31843841449727e-15,"q3",0.3265
"328",2.67415325622597e-15,"q3",0.3275
"329",3.70994730346427e-15,"q3",0.3285
"330",4.19605212179402e-15,"q3",0.3295
"331",4.20080305667304e-15,"q3",0.3305
"332",4.38161191804437e-15,"q3",0.3315
"333",4.5540830361401e-15,"q3",0.3325
"334",4.74322314318833e-15,"q3",0.3335
"335",4.87520912507431e-15,"q3",0.3345
"336",5.44694926956814e-15,"q3",0.3355
"337",5.63489632138701e-15,"q3",0.3365
"338",6.00833121445855e-15,"q3",0.3375
"339",6.23980846928804e-15,"q3",0.3385
"340",7.39742514774543e-15,"q3",0.3395
"341",7.45845646323694e-15,"q3",0.3405
"342",8.06108101104704e-15,"q3",0.3415
"343",9.19789076676058e-15,"q3",0.3425
"344",9.45648870801239e-15,"q3",0.3435
"345",1.19871716136924e-14,"q3",0.3445
"346",1.44271017379404e-14,"q3",0.3455
"347",1.6477165489208e-14,"q3",0.3465
"348",1.73989940177094e-14,"q3",0.3475
"349",1.82592163355629e-14,"q3",0.3485
"350",2.21574198117455e-14,"q3",0.3495
"351",2.22407054700248e-14,"q3",0.3505
"352",2.47459248421263e-14,"q3",0.3515
"353",2.61888202643612e-14,"q3",0.3525
"354",2.65715925332344e-14,"q3",0.3535
"355",2.77568926345333e-14,"q3",0.3545
"356",3.11236820721052e-14,"q3",0.3555
"357",3.47780852148678e-14,"q3",0.3565
"358",3.53714306159559e-14,"q3",0.3575
"359",4.53531565176973e-14,"q3",0.3585
"360",4.78623297607962e-14,"q3",0.3595
"361",4.89809092431499e-14,"q3",0.3605
"362",4.99376548662137e-14,"q3",0.3615
"363",5.07116266980818e-14,"q3",0.3625
"364",5.52492004372822e-14,"q3",0.3635
"365",5.91497326611612e-14,"q3",0.3645
"366",6.07792166013654e-14,"q3",0.3655
"367",6.99638026169533e-14,"q3",0.3665
"368",7.80910526271678e-14,"q3",0.3675
"369",8.01025510435252e-14,"q3",0.3685
"370",8.67101336259827e-14,"q3",0.3695
"371",9.36514006546874e-14,"q3",0.3705
"372",9.45921829808452e-14,"q3",0.3715
"373",9.9750102075907e-14,"q3",0.3725
"374",1.18100265217737e-13,"q3",0.3735
"375",1.24844224382936e-13,"q3",0.3745
"376",1.40774296000699e-13,"q3",0.3755
"377",1.43881775251006e-13,"q3",0.3765
"378",1.49249071462248e-13,"q3",0.3775
"379",1.7199439616297e-13,"q3",0.3785
"380",1.93119673274697e-13,"q3",0.3795
"381",2.01457332893601e-13,"q3",0.3805
"382",2.14298505172366e-13,"q3",0.3815
"383",2.28188854720922e-13,"q3",0.3825
"384",2.48902881093547e-13,"q3",0.3835
"385",2.76133683742357e-13,"q3",0.3845
"386",3.62173751873844e-13,"q3",0.3855
"387",3.68399548694321e-13,"q3",0.3865
"388",4.05223219546613e-13,"q3",0.3875
"389",4.88272071572234e-13,"q3",0.3885
"390",5.18014861772693e-13,"q3",0.3895
"391",5.34548911713896e-13,"q3",0.3905
"392",5.37121844870193e-13,"q3",0.3915
"393",5.50857223737369e-13,"q3",0.3925
"394",5.93140487020698e-13,"q3",0.3935
"395",5.97219033042816e-13,"q3",0.3945
"396",6.40495880471132e-13,"q3",0.3955
"397",7.23786545715942e-13,"q3",0.3965
"398",7.31228849056374e-13,"q3",0.3975
"399",7.39201493444237e-13,"q3",0.3985
"400",7.7148158157335e-13,"q3",0.3995
"401",7.77865429550088e-13,"q3",0.4005
"402",8.23564556818688e-13,"q3",0.4015
"403",8.547134962926e-13,"q3",0.4025
"404",9.17734187207636e-13,"q3",0.4035
"405",1.05032500484588e-12,"q3",0.4045
"406",1.07017024728175e-12,"q3",0.4055
"407",1.16929210816057e-12,"q3",0.4065
"408",1.18002041154218e-12,"q3",0.4075
"409",1.26367569714406e-12,"q3",0.4085
"410",1.32388225324325e-12,"q3",0.4095
"411",1.35490376956011e-12,"q3",0.4105
"412",1.49500717889693e-12,"q3",0.4115
"413",1.68504729429348e-12,"q3",0.4125
"414",1.89849668613448e-12,"q3",0.4135
"415",2.17825931992975e-12,"q3",0.4145
"416",2.29381926277442e-12,"q3",0.4155
"417",2.6530976856235e-12,"q3",0.4165
"418",2.67477423472429e-12,"q3",0.4175
"419",2.69449541509767e-12,"q3",0.4185
"420",3.22423817211079e-12,"q3",0.4195
"421",3.74234471338785e-12,"q3",0.4205
"422",3.86748465243304e-12,"q3",0.4215
"423",4.19308880421002e-12,"q3",0.4225
"424",4.78591039789806e-12,"q3",0.4235
"425",4.87532755455889e-12,"q3",0.4245
"426",4.94415283435368e-12,"q3",0.4255
"427",5.31762375177238e-12,"q3",0.4265
"428",5.42119179178956e-12,"q3",0.4275
"429",6.85638438484814e-12,"q3",0.4285
"430",7.1256948652491e-12,"q3",0.4295
"431",7.45805333613012e-12,"q3",0.4305
"432",7.69337996778936e-12,"q3",0.4315
"433",7.89737405616052e-12,"q3",0.4325
"434",7.93209477337268e-12,"q3",0.4335
"435",8.68215351936023e-12,"q3",0.4345
"436",8.88285324274473e-12,"q3",0.4355
"437",1.06840298198604e-11,"q3",0.4365
"438",1.18100231968676e-11,"q3",0.4375
"439",1.25345769832566e-11,"q3",0.4385
"440",1.27876335882162e-11,"q3",0.4395
"441",1.30763334154237e-11,"q3",0.4405
"442",1.42189060991786e-11,"q3",0.4415
"443",1.6227727178334e-11,"q3",0.4425
"444",1.64307362737994e-11,"q3",0.4435
"445",1.76746868828238e-11,"q3",0.4445
"446",2.03790754650576e-11,"q3",0.4455
"447",2.20811040194778e-11,"q3",0.4465
"448",2.23002166967845e-11,"q3",0.4475
"449",2.2692505878253e-11,"q3",0.4485
"450",2.43744553314837e-11,"q3",0.4495
"451",2.44857287470097e-11,"q3",0.4505
"452",2.5671880657699e-11,"q3",0.4515
"453",2.63652876262484e-11,"q3",0.4525
"454",2.89511001543681e-11,"q3",0.4535
"455",3.67551524509973e-11,"q3",0.4545
"456",3.81116914349578e-11,"q3",0.4555
"457",4.01279321546164e-11,"q3",0.4565
"458",4.10476612043039e-11,"q3",0.4575
"459",4.37210659250264e-11,"q3",0.4585
"460",4.54369638801199e-11,"q3",0.4595
"461",4.6123019801568e-11,"q3",0.4605
"462",4.6659320174738e-11,"q3",0.4615
"463",4.76089631556115e-11,"q3",0.4625
"464",4.7638502511243e-11,"q3",0.4635
"465",4.84749416074968e-11,"q3",0.4645
"466",5.07525080227154e-11,"q3",0.4655
"467",5.13276080097025e-11,"q3",0.4665
"468",5.19431956168403e-11,"q3",0.4675
"469",5.48172612535286e-11,"q3",0.4685
"470",6.72955409291573e-11,"q3",0.4695
"471",6.93337361460985e-11,"q3",0.4705
"472",6.97602378911975e-11,"q3",0.4715
"473",6.99241361834975e-11,"q3",0.4725
"474",8.70217283412575e-11,"q3",0.4735
"475",8.71785525659039e-11,"q3",0.4745
"476",9.14188149194031e-11,"q3",0.4755
"477",9.74501346644928e-11,"q3",0.4765
"478",1.07654359939811e-10,"q3",0.4775
"479",1.23899283222465e-10,"q3",0.4785
"480",1.43761284061893e-10,"q3",0.4795
"481",1.49491681348559e-10,"q3",0.4805
"482",1.51395779372597e-10,"q3",0.4815
"483",1.57357464348633e-10,"q3",0.4825
"484",1.64041688380931e-10,"q3",0.4835
"485",1.67429404606689e-10,"q3",0.4845
"486",1.7217975870385e-10,"q3",0.4855
"487",1.74368635086171e-10,"q3",0.4865
"488",1.88709859943008e-10,"q3",0.4875
"489",1.92502140818694e-10,"q3",0.4885
"490",1.92971653155834e-10,"q3",0.4895
"491",2.17780890297576e-10,"q3",0.4905
"492",2.22254919312582e-10,"q3",0.4915
"493",2.40811092187591e-10,"q3",0.4925
"494",2.41210248765505e-10,"q3",0.4935
"495",2.43360320155493e-10,"q3",0.4945
"496",2.44131280878945e-10,"q3",0.4955
"497",2.94984084721579e-10,"q3",0.4965
"498",2.98036638636079e-10,"q3",0.4975
"499",3.100398810876e-10,"q3",0.4985
"500",3.23980096596381e-10,"q3",0.4995
"501",4.44008094170692e-10,"q3",0.5005
"502",4.48400467190159e-10,"q3",0.5015
"503",4.48535255407193e-10,"q3",0.5025
"504",4.68029275089992e-10,"q3",0.5035
"505",5.11442905786132e-10,"q3",0.5045
"506",5.55244100032561e-10,"q3",0.5055
"507",5.93868924143023e-10,"q3",0.5065
"508",6.22288280186097e-10,"q3",0.5075
"509",6.4157543716023e-10,"q3",0.5085
"510",6.62683256608696e-10,"q3",0.5095
"511",6.88604646633231e-10,"q3",0.5105
"512",7.51959900707972e-10,"q3",0.5115
"513",8.1571610825841e-10,"q3",0.5125
"514",8.18190174361951e-10,"q3",0.5135
"515",8.63220177162822e-10,"q3",0.5145
"516",8.64071274039298e-10,"q3",0.5155
"517",8.77691573725545e-10,"q3",0.5165
"518",9.84247631756999e-10,"q3",0.5175
"519",1.07867514463017e-09,"q3",0.5185
"520",1.12198080011674e-09,"q3",0.5195
"521",1.18833568323946e-09,"q3",0.5205
"522",1.25602945518578e-09,"q3",0.5215
"523",1.32280159987454e-09,"q3",0.5225
"524",1.35238117658176e-09,"q3",0.5235
"525",1.46178748769837e-09,"q3",0.5245
"526",1.81223060037085e-09,"q3",0.5255
"527",1.81632702110898e-09,"q3",0.5265
"528",1.84349510004408e-09,"q3",0.5275
"529",1.87025711060487e-09,"q3",0.5285
"530",1.91595495548816e-09,"q3",0.5295
"531",1.95544777744667e-09,"q3",0.5305
"532",1.99906634468533e-09,"q3",0.5315
"533",2.1754828103985e-09,"q3",0.5325
"534",2.17842074193993e-09,"q3",0.5335
"535",2.42194005663907e-09,"q3",0.5345
"536",2.43386133277708e-09,"q3",0.5355
"537",2.4495519558358e-09,"q3",0.5365
"538",2.50358399624247e-09,"q3",0.5375
"539",2.54379332411414e-09,"q3",0.5385
"540",2.56977228612882e-09,"q3",0.5395
"541",2.77267828975985e-09,"q3",0.5405
"542",2.81037713940953e-09,"q3",0.5415
"543",2.85232688423592e-09,"q3",0.5425
"544",2.98368060252192e-09,"q3",0.5435
"545",2.99499465010812e-09,"q3",0.5445
"546",3.33060820901029e-09,"q3",0.5455
"547",3.3751509052265e-09,"q3",0.5465
"548",3.4487698623501e-09,"q3",0.5475
"549",3.55974052172625e-09,"q3",0.5485
"550",3.65256899042412e-09,"q3",0.5495
"551",3.71668860491339e-09,"q3",0.5505
"552",3.92519754230672e-09,"q3",0.5515
"553",4.0269640645656e-09,"q3",0.5525
"554",4.45035490544433e-09,"q3",0.5535
"555",4.62784130149189e-09,"q3",0.5545
"556",4.9073799397356e-09,"q3",0.5555
"557",5.50143403856317e-09,"q3",0.5565
"558",5.82584909307696e-09,"q3",0.5575
"559",6.55617423332386e-09,"q3",0.5585
"560",7.49317932169966e-09,"q3",0.5595
"561",7.93891377411669e-09,"q3",0.5605
"562",9.12077287389088e-09,"q3",0.5615
"563",9.31639113639216e-09,"q3",0.5625
"564",9.31844433177545e-09,"q3",0.5635
"565",1.01384368954413e-08,"q3",0.5645
"566",1.0173199717679e-08,"q3",0.5655
"567",1.02170464144631e-08,"q3",0.5665
"568",1.03760366369814e-08,"q3",0.5675
"569",1.06515923864371e-08,"q3",0.5685
"570",1.14522636382589e-08,"q3",0.5695
"571",1.45549414735258e-08,"q3",0.5705
"572",1.49667679925332e-08,"q3",0.5715
"573",1.49743144936653e-08,"q3",0.5725
"574",1.59131809663506e-08,"q3",0.5735
"575",1.68181985875157e-08,"q3",0.5745
"576",1.85482862035279e-08,"q3",0.5755
"577",2.04148541004156e-08,"q3",0.5765
"578",2.10446408168826e-08,"q3",0.5775
"579",2.16831325016796e-08,"q3",0.5785
"580",2.16972120464459e-08,"q3",0.5795
"581",2.2937720021564e-08,"q3",0.5805
"582",2.32471748484882e-08,"q3",0.5815
"583",2.45559731359428e-08,"q3",0.5825
"584",2.92800375429693e-08,"q3",0.5835
"585",3.13374429186659e-08,"q3",0.5845
"586",3.13758596876166e-08,"q3",0.5855
"587",3.23257191598649e-08,"q3",0.5865
"588",3.69346926722868e-08,"q3",0.5875
"589",3.69652858630776e-08,"q3",0.5885
"590",3.84406823903151e-08,"q3",0.5895
"591",3.95715299928948e-08,"q3",0.5905
"592",4.10675743670066e-08,"q3",0.5915
"593",4.36170943395913e-08,"q3",0.5925
"594",4.5551828764641e-08,"q3",0.5935
"595",4.56454646373758e-08,"q3",0.5945
"596",4.68096210554911e-08,"q3",0.5955
"597",5.55692412410558e-08,"q3",0.5965
"598",5.61921141451959e-08,"q3",0.5975
"599",5.7961749757341e-08,"q3",0.5985
"600",6.07716587175249e-08,"q3",0.5995
"601",6.18938839042103e-08,"q3",0.6005
"602",6.33805114990867e-08,"q3",0.6015
"603",6.3989312547866e-08,"q3",0.6025
"604",6.81951820858786e-08,"q3",0.6035
"605",8.7027625016913e-08,"q3",0.6045
"606",8.79564714507934e-08,"q3",0.6055
"607",8.87317264613801e-08,"q3",0.6065
"608",9.81501332159487e-08,"q3",0.6075
